yearid,fipscode,raceid,ageid,genderid,educationid,indicatorid,miscid,datasourceid,estimateid,SuppressID,datasetid,GeoLevel,Estimate,SeEstimate,LowerLimit,UpperLimit
1984,-1,1,100,0,0,1,0,30,61,0,40,National,3.4,0.2,3,3.9
1984,-1,2,99,0,0,1,0,3,61,0,3,National,4,0.5,3,5.2
1984,-1,2,99,0,0,1,0,3,101,0,3,National,1099,155,793,1404
1984,-1,2,99,0,0,1,0,30,61,0,40,National,5.9,0.8,4.5,7.6
1984,-1,2,99,0,0,1,0,30,101,0,40,National,1071,153,768,1374
1984,-1,2,100,0,0,1,0,3,61,0,3,National,5.6,0.7,4.4,7
1984,-1,2,100,0,0,1,0,30,61,0,40,National,7.4,0.9,5.9,9.4
1984,-1,3,99,0,0,1,0,3,61,0,3,National,.,.,.,.
1984,-1,3,99,0,0,1,0,3,101,0,3,National,.,.,.,.
1984,-1,3,99,0,0,1,0,30,61,0,40,National,.,.,.,.
1984,-1,3,99,0,0,1,0,30,101,0,40,National,.,.,.,.
